2011-09-04 14:51:13 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:13 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:13 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:13 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:51:13 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:13 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:13 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:13 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:13 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:13 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:13 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:13 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:14 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:14 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:14 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:14 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:14 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:14 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:14 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:14 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:14 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:15 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:15 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:15 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:15 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:15 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:20 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:20 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:20 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:20 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:20 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:20 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:20 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:21 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:21 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:21 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:21 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:21 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:21 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:21 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:21 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:21 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:22 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:22 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:22 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:22 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:22 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
2011-09-04 14:52:22 Debug: Notice (8): Undefined variable: nome in [C:\WAMPS\apache\htdocs\cakephp\app\controllers\palestrantes_controller.php, line 21]
